write,"Tue Apr 15 04:36:46 UTC 2025",10,5120,183.47,218.08,114.72,21.15
write,"Tue Apr 15 04:37:37 UTC 2025",10,5120,160.74,162.44,16.53,21.12
write,"Tue Apr 15 04:38:16 UTC 2025",10,5120,175.47,229.75,140.49,19.94
write,"Tue Apr 15 04:38:52 UTC 2025",10,5120,137.88,139.19,14.33,20.36
write,"Tue Apr 15 04:39:47 UTC 2025",10,5120,106.16,159.66,140.86,25.4
read,"Tue Apr 15 04:53:52 UTC 2025",10,5120,241.74,291.15,115.75,23.96
read,"Tue Apr 15 04:54:30 UTC 2025",10,5120,278.05,311.52,121.86,19.24
read,"Tue Apr 15 04:55:00 UTC 2025",10,5120,490.33,583.33,310.94,17.03
read,"Tue Apr 15 04:55:36 UTC 2025",10,5120,399.84,621.68,446.56,18.54
read,"Tue Apr 15 04:56:02 UTC 2025",10,5120,428.77,616.47,442.53,19.47
